ID,プログラム(事業者),対象地域,都道府県レベル,市町村レベル,リンク
1,新雪プログラム／一般社団法人新雪,北海道全域,北海道,,https://shinsetsu.hokkaido.jp
2,Ezofrogs／一般社団法人Ezofrogs,北海道全域,北海道,,https://www.ezofrogs.com
3,moctech（モクテック）／特定非営利活動法人北海道エンブリッジ,札幌市、北海道中核都市（函館市、苫小牧市等）,,札幌市、函館市、苫小牧市、旭川市、北見市、帯広市、釧路市,https://en-bridge.org/enbridge_blog/moctech_2025/
4,アオタケプロジェクト／スパークル株式会社,青森県全域、秋田県全域、福島県全域、函館市,青森県、秋田県、福島県,,https://aizu-startups-foundation.com/aotake/
5,秋田イノベーション・プログラム ASHIOTO –足音-／株式会社NTT DXパートナー,秋田県全域,秋田県,,https://a-sta.a-iju.jp
6,MiTOHOKU Program／株式会社Wasshoi Lab,宮城県全域 ※募集範囲は東北６県（青森県、秋田県、岩手県、山形県、宮城県、福島県）,青森県、秋田県、岩手県、山形県、宮城県、福島県,,https://mitohoku.jp
7,"ETSUZAN／Socialups株式会社
",新潟県全域,新潟県,,https://etsuzan.org
8,"茨城frogsプログラム／一般社団法人茨城フロッグス",茨城県全域,茨城県,,https://www.ibarakifrogs.com
9,S.T.A.R.（Saitama Talent Advancement Re:creation）プロジェクト／株式会社地域デザインラボさいたま,埼玉県全域　秩父市・皆野町を中心とした秩父地域（条件不利地域）,埼玉県,秩父市、皆野町,https://saitama-pjstar.jp
10,ミライツクル ~デジタル技術を活用した北陸地域のミライ社会実現プロジェクト~／北陸朝日放送株式会社,石川県全域 石川県内震災復興指定地域１２市町村,石川県,珠洲市、能登町、輪島市、穴水町、七尾市、志賀町、中能登町、羽咋市、宝達志水町、かほく市、津幡町、内灘町,https://careetern.com/event/detail/akatsukimiraitsukuru2025
12,"TOMOLプロジェクト／EXPACT株式会社
",静岡県（静岡市、浜松市、三島市、沼津市、下田市）愛知県（豊橋市、豊川市）,静岡県、愛知県,静岡市、浜松市、三島市、沼津市、下田市、豊橋市、豊川市,https://project.tomol.jp
13,Co-Do:Tech／株式会社レジスタ,東海４県（愛知県、岐阜県、三重県、静岡県）,愛知県、岐阜県、三重県、静岡県,,https://tech.co-do.net
14,"Q-Quest-GROW
／JellyWare株式会社","東海地区（愛知県、岐阜県、三重県）
九州地区（大分県、福岡県、⾧崎県、熊本県）",愛知県、岐阜県、三重県、大分県、福岡県、長崎県、熊本県,,https://jellyware.jp/q-questgrow/
15,"関西テック・クリエイター育成事業
／公益財団法人大阪産業局","関西地域全域
（大阪府、京都府、兵庫県、奈良県、滋賀県、和歌山県）",大阪府、京都府、兵庫県、奈良県、滋賀県、和歌山県,,https://kansai-tcc.dle.or.jp
16,"Alpha+ Project
／一般社団法人Greek Alphabet Software Academy",神戸市を中心とする関西地域,,神戸市,https://greek-academy.org
17,"ORANGE AI Project
／瀬戸内と株式会社",岡山県全域,岡山県,,https://setouchi.vc/news/184
18,"LEADING EDGE 四国
／株式会社伊予銀行","愛媛県及び四国地域
瀬戸内圏域をメインとした四国外地域",愛媛県,,https://www.leadingedge-shikoku.com
19,"re-KOSEN
／メディア総研株式会社","中四国地域（山口県、広島県、岡山県、鳥取県、島根県、
香川県、高知県、愛媛県、徳島県）","山口県、広島県、岡山県、鳥取県、島根県、
香川県、高知県、愛媛県、徳島県",,http://www.re-kosen.com
20,"山口 未来変革デジタル人材発掘・育成プログラム
／国立大学法人山口大学",山口県全域、広島市,山口県,広島市,https://yamaguchi-henkaku.jp
21,"[福岡未踏的人材発掘・育成コンソーシアム]
クリエータ公募プログラム
／株式会社産学連携機構九州",福岡県全域,福岡県,,https://mitou-fukuoka.org
22,"熊本版未踏的プロジェクトIPPO
／株式会社熊本日日新聞社",熊本県全域,熊本県,,https://mitouteki-kumamoto.com
23,宮崎frogsプログラム／一般社団法人宮崎frogs,宮崎県全域,宮崎県,,https://miyazakifrogs.com
24,"鹿児島版AKATSUKIプロジェクト『ISHIN』
／株式会社フォーエバー",鹿児島市,,鹿児島市,https://mitou-ishin.com
25,琉球frogsプログラム／株式会社FROGS,沖縄県全域,沖縄県,,https://www.ryukyu-frogs.com
